JoinField,UNIQUE_ID,COUNTYFP,Parish,Precinct,G24PREDHAR,G24PRERTRU,G24PRETOT,G24A1NO,G24A1YES,G24PRELOLI,G24PREOCRU,G24PREOFRU,G24PREOKEN,G24PREOPRE,G24PREOSON,G24PREOSTE,G24PREOTER,G24PREOWES,GCON01DMAN,GCON01NHYE,GCON01RARR,GCON01RSCA,GCON01RSHA,GCON02DCAR,GCON02DDAV,GCON02RGRA,GCON02RLYN,GCON02RPER,GCON03DGON,GCON03DSUM,GCON03RHIG,GCON03RJOH,GCON04RJOH,GCON04RMOR,GCON05DVAL,GCON05RLET,GCON05RMEN,GCON06DAND,GCON06DFIE,GCON06DJON,GCON06DWIL,GCON06RGUI
055;27,Lafayette-27,055,Lafayette,00 027,211,475,693,228,383,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,133,41,457,16,0,0,0,0,0,0,0,0,0,0
055;28,Lafayette-28,055,Lafayette,00 028,311,1806,2142,505,1502,6,0,0,5,4,0,4,2,4,0,0,0,0,0,0,0,0,0,0,205,98,1781,74,0,0,0,0,0,0,0,0,0,0
055;29,Lafayette-29,055,Lafayette,00 029,163,740,912,259,583,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,104,43,716,42,0,0,0,0,0,0,0,0,0,0
055;3,Lafayette-3,055,Lafayette,00 003,233,1028,1266,361,796,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,186,43,1013,31,0,0,0,0,0,0,0,0,0,0
055;30,Lafayette-30,055,Lafayette,00 030,241,670,922,188,649,3,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,184,45,618,36,0,0,0,0,0,0,0,0,0,0
055;31,Lafayette-31,055,Lafayette,00 031,281,730,1020,221,716,2,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,184,90,676,45,0,0,0,0,0,0,0,0,0,0
055;32,Lafayette-32,055,Lafayette,00 032,378,773,1170,225,901,2,0,0,10,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,251,104,742,47,0,0,0,0,0,0,0,0,0,0
055;33,Lafayette-33,055,Lafayette,00 033,304,930,1276,286,920,9,0,2,3,0,4,20,4,0,0,0,0,0,0,0,0,0,0,0,209,88,883,91,0,0,0,0,0,0,0,0,0,0
055;34,Lafayette-34,055,Lafayette,00 034,438,1125,1599,323,1207,6,3,0,13,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,306,134,1058,76,0,0,0,0,0,0,0,0,0,0
055;35,Lafayette-35,055,Lafayette,00 035,254,905,1169,261,819,2,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,160,67,868,44,0,0,0,0,0,0,0,0,0,0
055;36,Lafayette-36,055,Lafayette,00 036,457,1419,1896,415,1388,4,0,0,2,4,4,4,0,2,0,0,0,0,0,0,0,0,0,0,296,88,1396,62,0,0,0,0,0,0,0,0,0,0
055;37,Lafayette-37,055,Lafayette,00 037,381,1767,2177,503,1533,12,0,0,13,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,275,87,1734,74,0,0,0,0,0,0,0,0,0,0
055;38,Lafayette-38,055,Lafayette,00 038,321,615,970,221,714,4,0,3,10,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0,232,83,590,58,0,0,0,0,0,0,0,0,0,0
055;39,Lafayette-39,055,Lafayette,00 039,423,415,857,177,663,2,4,0,0,2,0,9,2,0,0,0,0,0,0,0,0,0,0,0,319,108,372,40,0,0,0,0,0,0,0,0,0,0
055;4,Lafayette-4,055,Lafayette,00 004,674,730,1420,324,929,4,0,0,6,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,546,25,32,591
055;40,Lafayette-40,055,Lafayette,00 040,213,313,547,111,419,7,0,0,3,0,3,2,4,2,0,0,0,0,0,0,0,0,0,0,148,67,293,27,0,0,0,0,0,0,0,0,0,0
055;41,Lafayette-41,055,Lafayette,00 041,313,483,806,142,621,2,0,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,197,114,447,42,0,0,0,0,0,0,0,0,0,0
055;42,Lafayette-42,055,Lafayette,00 042,345,372,740,152,556,9,2,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,235,96,370,25,0,0,0,0,0,0,0,0,0,0
055;43,Lafayette-43,055,Lafayette,00 043,194,407,616,115,472,4,0,0,5,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,123,77,363,33,0,0,0,0,0,0,0,0,0,0
055;44,Lafayette-44,055,Lafayette,00 044,161,300,474,92,379,2,0,0,3,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,116,53,278,27,0,0,0,0,0,0,0,0,0,0
055;45,Lafayette-45,055,Lafayette,00 045,273,428,715,123,560,2,2,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,196,63,408,31,0,0,0,0,0,0,0,0,0,0
055;46,Lafayette-46,055,Lafayette,00 046,140,300,455,75,379,3,0,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,101,51,276,31,0,0,0,0,0,0,0,0,0,0
055;47,Lafayette-47,055,Lafayette,00 047,266,465,747,127,613,6,0,0,2,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,169,87,440,49,0,0,0,0,0,0,0,0,0,0
055;48,Lafayette-48,055,Lafayette,00 048,199,294,511,77,406,4,0,0,10,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,112,79,297,16,0,0,0,0,0,0,0,0,0,0
055;49,Lafayette-49,055,Lafayette,00 049,389,494,922,136,805,16,2,0,8,2,6,4,0,1,0,0,0,0,0,0,0,0,0,0,215,163,466,69,0,0,0,0,0,0,0,0,0,0
055;5,Lafayette-5,055,Lafayette,00 005,323,247,581,154,348,0,0,0,2,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,287,11,7,201
055;50,Lafayette-50,055,Lafayette,00 050,148,440,599,140,404,3,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,130,2,13,349
055;51,Lafayette-51,055,Lafayette,00 051,347,41,393,113,253,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,283,3,7,43
055;52,Lafayette-52,055,Lafayette,00 052,374,88,468,119,320,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,287,8,14,69
055;53,Lafayette-53,055,Lafayette,00 053,357,47,412,94,297,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,292,3,7,38
055;54,Lafayette-54,055,Lafayette,00 054,389,29,424,115,276,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,325,14,13,28
055;55,Lafayette-55,055,Lafayette,00 055,510,267,785,205,499,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,384,5,14,221
055;56,Lafayette-56,055,Lafayette,00 056,537,43,589,188,333,2,0,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,437,11,11,32
055;57,Lafayette-57,055,Lafayette,00 057,347,76,438,92,329,0,2,1,3,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,281,5,9,64
055;58,Lafayette-58,055,Lafayette,00 058,406,25,439,171,232,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,332,9,18,21
055;59,Lafayette-59,055,Lafayette,00 059,139,206,354,92,244,1,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,111,0,7,176
055;6,Lafayette-6,055,Lafayette,00 006,317,889,1223,286,813,2,0,0,5,2,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,292,8,11,730
055;60,Lafayette-60,055,Lafayette,00 060,233,197,437,111,312,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,204,3,9,150
055;61,Lafayette-61,055,Lafayette,00 061,228,29,259,71,173,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,181,6,4,19
055;63,Lafayette-63,055,Lafayette,00 063,230,86,321,84,227,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,191,5,4,62
055;64,Lafayette-64,055,Lafayette,00 064,144,290,437,109,297,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,122,0,11,242
055;65,Lafayette-65,055,Lafayette,00 065,228,136,377,60,320,4,2,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,171,73,109,22,0,0,0,0,0,0,0,0,0,0
055;66,Lafayette-66,055,Lafayette,00 066,184,117,314,52,280,0,2,0,3,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,127,73,111,15,0,0,0,0,0,0,0,0,0,0
055;67,Lafayette-67,055,Lafayette,00 067,182,765,963,196,710,4,0,1,6,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,125,69,705,53,0,0,0,0,0,0,0,0,0,0
055;68,Lafayette-68,055,Lafayette,00 068,288,154,459,108,350,6,0,0,5,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,229,9,9,115
055;69,Lafayette-69,055,Lafayette,00 069,243,189,451,71,392,4,2,1,0,0,1,6,2,3,0,0,0,0,0,0,0,0,0,0,141,124,173,22,0,0,0,0,0,0,0,0,0,0
055;7,Lafayette-7,055,Lafayette,00 007,778,605,1404,376,857,6,0,0,3,5,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,647,10,18,481
055;70,Lafayette-70,055,Lafayette,00 070,302,317,631,88,520,0,2,0,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,178,144,299,15,0,0,0,0,0,0,0,0,0,0
055;71,Lafayette-71,055,Lafayette,00 071,224,693,921,278,579,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,141,55,695,25,0,0,0,0,0,0,0,0,0,0
055;72,Lafayette-72,055,Lafayette,00 072,230,123,364,33,337,1,3,0,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,141,77,126,20,0,0,0,0,0,0,0,0,0,0
055;73,Lafayette-73,055,Lafayette,00 073,95,331,439,77,343,7,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,57,33,314,40,0,0,0,0,0,0,0,0,0,0
055;74,Lafayette-74,055,Lafayette,00 074,317,319,657,127,533,3,3,0,5,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,196,124,312,36,0,0,0,0,0,0,0,0,0,0
055;75,Lafayette-75,055,Lafayette,00 075,182,269,458,60,398,3,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,125,59,246,22,0,0,0,0,0,0,0,0,0,0
055;76,Lafayette-76,055,Lafayette,00 076,178,642,841,134,691,6,0,0,3,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,142,39,588,73,0,0,0,0,0,0,0,0,0,0
055;77,Lafayette-77,055,Lafayette,00 077,186,531,738,111,592,4,1,0,5,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,110,69,496,56,0,0,0,0,0,0,0,0,0,0
055;78,Lafayette-78,055,Lafayette,00 078,277,773,1073,190,859,10,0,0,3,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,167,61,776,73,0,0,0,0,0,0,0,0,0,0
055;79,Lafayette-79,055,Lafayette,00 079,93,465,565,113,453,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,57,45,449,31,0,0,0,0,0,0,0,0,0,0
055;8,Lafayette-8,055,Lafayette,00 008,514,716,1243,355,748,0,0,2,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,336,83,714,35,0,0,0,0,0,0,0,0,0,0
055;80,Lafayette-80,055,Lafayette,00 080,116,557,680,146,508,1,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,49,53,524,54,0,0,0,0,0,0,0,0,0,0
055;81,Lafayette-81,055,Lafayette,00 081,101,327,431,104,301,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65,35,291,38,0,0,0,0,0,0,0,0,0,0
055;82,Lafayette-82,055,Lafayette,00 082,340,592,963,140,794,12,1,0,10,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,222,153,569,42,0,0,0,0,0,0,0,0,0,0
055;83,Lafayette-83,055,Lafayette,00 083,379,866,1272,253,956,6,1,0,8,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,190,134,868,69,0,0,0,0,0,0,0,0,0,0
055;84,Lafayette-84,055,Lafayette,00 084,220,763,1002,169,805,9,1,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,133,77,729,73,0,0,0,0,0,0,0,0,0,0
055;85,Lafayette-85,055,Lafayette,00 085,324,757,1102,221,845,0,1,0,3,0,4,10,2,1,0,0,0,0,0,0,0,0,0,0,222,79,729,60,0,0,0,0,0,0,0,0,0,0
055;86,Lafayette-86,055,Lafayette,00 086,230,934,1189,238,895,7,0,0,8,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,152,73,898,73,0,0,0,0,0,0,0,0,0,0
055;87,Lafayette-87,055,Lafayette,00 087,233,812,1063,227,800,1,0,0,6,3,0,6,2,0,0,0,0,0,0,0,0,0,0,0,158,61,802,58,0,0,0,0,0,0,0,0,0,0
055;88,Lafayette-88,055,Lafayette,00 088,171,533,720,127,569,1,0,0,5,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,87,61,509,58,0,0,0,0,0,0,0,0,0,0
055;89,Lafayette-89,055,Lafayette,00 089,97,387,503,86,413,9,0,0,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,51,41,361,53,0,0,0,0,0,0,0,0,0,0
055;9,Lafayette-9,055,Lafayette,00 009,472,736,1224,367,741,4,0,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,401,19,13,561
055;90,Lafayette-90,055,Lafayette,00 090,222,360,601,117,470,3,3,0,2,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,137,94,314,51,0,0,0,0,0,0,0,0,0,0
055;91,Lafayette-91,055,Lafayette,00 091,345,841,1217,248,935,3,1,0,15,0,3,7,2,0,0,0,0,0,0,0,0,0,0,0,251,87,812,65,0,0,0,0,0,0,0,0,0,0
055;92,Lafayette-92,055,Lafayette,00 092,486,644,1143,219,864,3,0,0,5,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,327,144,603,62,0,0,0,0,0,0,0,0,0,0
055;93,Lafayette-93,055,Lafayette,00 093,224,438,674,154,476,1,0,0,6,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,163,53,413,31,0,0,0,0,0,0,0,0,0,0
055;94,Lafayette-94,055,Lafayette,00 094,414,720,1162,202,922,0,3,0,10,2,0,10,0,3,0,0,0,0,0,0,0,0,0,0,270,136,676,65,0,0,0,0,0,0,0,0,0,0
055;95,Lafayette-95,055,Lafayette,00 095,190,860,1078,207,815,3,0,0,8,3,4,4,3,3,0,0,0,0,0,0,0,0,0,0,120,67,857,45,0,0,0,0,0,0,0,0,0,0
055;96,Lafayette-96,055,Lafayette,00 096,173,463,651,140,499,6,0,0,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,120,41,440,47,0,0,0,0,0,0,0,0,0,0
055;97,Lafayette-97,055,Lafayette,00 097,104,222,328,75,242,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,31,192,27,0,0,0,0,0,0,0,0,0,0
055;98,Lafayette-98,055,Lafayette,00 098,286,876,1186,257,861,7,0,0,10,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,190,79,876,45,0,0,0,0,0,0,0,0,0,0
055;99,Lafayette-99,055,Lafayette,00 099,370,372,746,202,474,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,63,353,20,0,0,0,0,0,0,0,0,0,0
057;10-1,Lafourche-:-10-1,057,Lafourche,10 01,71,490,569,97,432,0,0,0,0,5,0,3,0,0,52,12,51,422,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;10-10,Lafourche-:-10-10,057,Lafourche,10 10,83,385,473,75,387,2,0,0,0,0,0,0,3,0,59,10,17,379,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;10-11,Lafourche-:-10-11,057,Lafourche,10 11,18,203,225,39,170,1,0,0,2,0,0,1,0,0,19,4,12,179,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;10-12,Lafourche-:-10-12,057,Lafourche,10 12,46,371,428,52,336,1,0,0,7,2,0,1,0,0,42,7,31,345,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;10-13,Lafourche-:-10-13,057,Lafourche,10 13,26,377,410,46,344,3,0,0,3,0,0,1,0,0,15,5,23,375,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;10-14,Lafourche-:-10-14,057,Lafourche,10 14,70,537,612,55,512,0,0,0,0,2,0,3,0,0,56,7,24,534,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;10-15,Lafourche-:-10-15,057,Lafourche,10 15,21,367,390,48,293,1,0,0,0,0,0,0,1,0,17,5,21,341,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;10-16,Lafourche-:-10-16,057,Lafourche,10 16,51,359,414,41,356,0,0,0,2,0,1,1,0,0,38,11,25,330,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;10-2,Lafourche-:-10-2,057,Lafourche,10 02,74,449,529,64,440,0,0,0,2,0,1,3,0,0,65,3,31,400,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;10-3,Lafourche-:-10-3,057,Lafourche,10 03,18,371,396,36,322,0,1,0,5,0,0,1,0,0,19,10,37,326,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;10-4,Lafourche-:-10-4,057,Lafourche,10 04,88,750,851,122,692,0,0,0,7,4,0,1,1,0,67,16,58,698,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;10-6,Lafourche-:-10-6,057,Lafourche,10 06,33,238,277,34,219,2,1,0,2,0,0,1,0,0,29,1,11,230,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;10-8,Lafourche-:-10-8,057,Lafourche,10 08,58,422,490,79,363,3,0,0,2,0,0,0,5,0,40,10,31,392,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;10-9,Lafourche-:-10-9,057,Lafourche,10 09,65,397,465,45,375,0,1,0,0,0,0,1,1,0,48,20,25,349,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;1-1,Lafourche-1-1,057,Lafourche,01 01,227,1098,1334,257,992,2,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,162,66,874,97,0,0,0,0,0,0,0,0,0,0
057;11-1,Lafourche-:-11-1,057,Lafourche,11 01,35,285,320,52,217,0,0,0,0,0,0,0,0,0,34,3,18,260,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;11-2,Lafourche-:-11-2-A,057,Lafourche,11 02 A,163,1862,2040,329,1546,1,1,0,2,4,0,6,1,0,130,32,190,1654,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;11-3,Lafourche-:-11-3,057,Lafourche,11 03,192,936,1143,177,924,5,0,0,7,2,1,0,0,0,167,14,99,822,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;11-4,Lafourche-:-11-4,057,Lafourche,11 04,49,375,426,86,338,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,16,327,29,0,0,0,0,0,0,0,0,0,0
057;11-5,Lafourche-:-11-5,057,Lafourche,11 05,122,858,984,138,815,1,0,0,2,0,1,0,0,0,90,10,97,762,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;1-2,Lafourche-1-2,057,Lafourche,01 02,167,238,411,93,295,2,0,0,2,0,0,0,0,2,0,0,0,0,0,144,35,101,81,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;1-3,Lafourche-1-3,057,Lafourche,01 03,155,606,767,136,596,2,0,0,4,0,0,0,0,0,0,0,0,0,0,152,35,305,180,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;1-4,Lafourche-1-4,057,Lafourche,01 04,206,76,284,68,182,0,0,0,0,2,0,0,0,0,0,0,0,0,0,170,12,27,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;1-5,Lafourche-1-5,057,Lafourche,01 05,219,715,942,173,731,2,0,0,4,0,0,2,0,0,0,0,0,0,0,215,46,355,233,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;1-6,Lafourche-1-6,057,Lafourche,01 06,217,459,683,100,580,0,0,0,4,0,3,0,0,0,0,0,0,0,0,185,38,247,164,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;2-1,Lafourche-2-1,057,Lafourche,02 01,83,148,233,38,197,0,0,0,0,0,0,0,0,2,0,0,0,0,0,65,19,66,57,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;2-10,Lafourche-2-10,057,Lafourche,02 10,83,170,255,47,199,2,0,0,0,0,0,0,0,0,0,0,0,0,0,61,19,77,65,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;2-11,Lafourche-2-11,057,Lafourche,02 11,375,219,599,138,416,0,0,0,0,0,0,3,2,0,0,0,0,0,0,263,49,101,79,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;2-12,Lafourche-2-12,057,Lafourche,02 12,122,561,697,73,621,2,0,0,5,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,80,31,530,24,0,0,0,0,0,0,0,0,0,0
057;2-13,Lafourche-2-13,057,Lafourche,02 13,199,789,1002,195,746,5,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,149,40,701,46,0,0,0,0,0,0,0,0,0,0
057;2-14,Lafourche-2-14,057,Lafourche,02 14,62,356,422,55,377,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,18,333,15,0,0,0,0,0,0,0,0,0,0
057;2-15,Lafourche-2-15,057,Lafourche,02 15,37,270,314,30,285,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11,248,10,0,0,0,0,0,0,0,0,0,0
057;2-16,Lafourche-2-16,057,Lafourche,02 16,56,70,128,38,88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,48,20,21,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;2-1A,Lafourche-2-1A,057,Lafourche,02 01A,86,115,205,39,141,0,0,0,0,0,0,2,0,2,0,0,0,0,0,85,9,35,40,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;2-2,Lafourche-2-2-A,057,Lafourche,02 02 A,162,900,1086,134,940,13,0,0,4,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,121,35,830,46,0,0,0,0,0,0,0,0,0,0
057;2-3,Lafourche-2-3,057,Lafourche,02 03,178,662,848,170,619,3,3,0,0,0,0,2,0,0,0,0,0,0,0,183,52,307,206,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;2-5,Lafourche-2-5,057,Lafourche,02 05,139,176,320,55,248,3,0,0,0,0,2,0,0,0,0,0,0,0,0,113,17,73,71,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;2-6,Lafourche-2-6,057,Lafourche,02 06,83,248,335,39,287,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,25,205,19,0,0,0,0,0,0,0,0,0,0
057;2-7,Lafourche-2-7,057,Lafourche,02 07,354,59,419,104,264,2,0,0,0,0,0,2,0,2,0,0,0,0,0,283,42,25,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;2-8,Lafourche-2-8,057,Lafourche,02 08,48,309,359,38,301,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,37,7,252,29,0,0,0,0,0,0,0,0,0,0
057;2-9,Lafourche-2-9,057,Lafourche,02 09,391,102,504,122,315,2,2,0,0,5,2,0,0,0,0,0,0,0,0,305,51,33,42,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;3-1,Lafourche-3-1,057,Lafourche,03 01,129,697,839,154,662,2,0,6,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,102,39,569,46,0,0,0,0,0,0,0,0,0,0
057;3-2,Lafourche-3-2,057,Lafourche,03 02,67,520,591,120,461,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,50,18,457,29,0,0,0,0,0,0,0,0,0,0
057;3-3,Lafourche-3-3,057,Lafourche,03 03,25,483,518,79,414,0,0,0,4,0,2,2,2,0,17,3,24,475,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;3-4,Lafourche-3-4,057,Lafourche,03 04,441,182,635,159,381,3,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,268,86,138,10,0,0,0,0,0,0,0,0,0,0
057;3-5,Lafourche-3-5,057,Lafourche,03 05,190,516,715,114,574,0,2,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,147,23,396,48,0,0,0,0,0,0,0,0,0,0
057;3-6,Lafourche-3-6,057,Lafourche,03 06,99,694,814,123,635,3,0,0,4,5,6,3,0,0,77,14,54,647,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;3-7,Lafourche-3-7,057,Lafourche,03 07,86,543,637,104,483,0,0,0,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,58,23,433,43,0,0,0,0,0,0,0,0,0,0
057;4-1,Lafourche-4-1,057,Lafourche,04 01,62,828,896,125,727,2,0,0,2,0,0,2,0,0,50,10,57,782,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;4-2,Lafourche-4-2,057,Lafourche,04 02,56,574,639,80,531,2,0,0,5,2,0,0,0,0,36,11,43,541,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;4-3,Lafourche-4-3,057,Lafourche,04 03,32,334,373,64,252,2,1,0,2,2,0,0,0,0,29,11,21,309,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;4-4,Lafourche-4-4,057,Lafourche,04 04,69,723,799,113,539,3,0,0,2,0,0,2,0,0,61,3,45,677,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;4-5,Lafourche-4-5,057,Lafourche,04 05,72,854,928,95,803,2,0,0,0,0,0,0,0,0,54,5,48,807,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057;4-6,Lafourche-4-6,057,Lafourche,04 06,74,752,838,147,660,3,0,0,5,2,0,2,0,0,50,12,27,722,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
